2,2042.3020,0,2476.3819,0,3207.5922,5,3601.7833,29
4,2478.1719,0,1969.5019,0,3229.9034,2,3809.8143,42
8,2664.2458,0,2531.9102,0,3393.9083,3,4034.4430,59
16,3107.6380,0,2492.7721,0,3716.2585,4,4261.8110,99
32,3285.0163,0,2209.4882,0,3773.0417,7,4374.7596,134
64,3614.6767,0,2646.4484,0,3894.8603,11,4340.8691,213
128,3721.3061,0,3528.5246,0,4037.9033,19,4342.8369,519
256,3374.4415,0,3668.2509,0,4060.0448,38,4386.5905,701
512,3276.3532,0,3311.4173,0,4104.7406,62,4393.1121,1280
1024,3757.4028,0,3581.3688,1,4240.8076,167,4470.0096,2405
2048,3590.3188,1,3405.8601,1,4235.1962,270,4404.8456,4669
4096,3426.7105,1,3644.5749,2,4260.9535,534,4342.9178,9349
8192,3109.6194,1,3200.7918,8,4269.3205,1043,4357.3981,18588
16384,3467.4902,2,3778.9351,12,4265.3316,2069,4396.9945,37243
32768,3484.2271,4,3329.1095,27,4324.8355,4142,4393.3431,74225